2,5
4,0
5,6
7,3
8,9
10,5
12,1
13,7
15,3
16,9
18,5
20,1
21,7
23,3
24,9
26,5
28,1
29,7
31,3
32,9
34,5
36,1
37,7
39,3
40,9
42,5
44,1
45,7
47,3
48,8
49,9
51,0
52,2
53,3
54,4
55,5
56,7
57,8
58,9
60,0
61,1
62,3
63,4
64,5
65,7
66,8
67,9
69,0
70,2
71,3
72,4
73,6
74,7
75,8
76,1
76,1
76,1
76,1
76,1
76,1
76,1
76,1
76,1
77,2
77,7
78,3
78,8
79,4
79,9
80,4
81,0
81,5
82,0
82,6
83,1
83,7
83,5
86,6
89,7
92,6
95,4
95,9
96,0
96,0
95,7
95,7
95,8
95,6
95,7
95,7
95,7
95,7
95,7
95,7
95,7
95,7
95,7
95,7
95,8
95,7
95,7
95,7
95,7
95,7
95,7
95,7
95,7
95,7
95,6
95,7
95,7
95,6
95,6
95,6
95,6
95,6
95,6
95,5
95,6
95,5
95,5
95,5
95,5
95,5
95,4
95,4
95,4
95,4
95,4
95,4
95,5
95,5
95,5
95,4
95,5
95,6
95,5
95,5
88,3
0,0
0,0
0,0
